"","city","Date","Location","Operator","Route","Type","Aboard","Fatalities","Survived","Ratio","Ground","Summary","Year","Month","month","X","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"239","belo horizonte","11/06/2003","belo horizonte, brazil","Astro Air Taxi","","Embraer 820C Navajo",4,4,0,1,0,"After takeoff, the pilot reported low pressure of oil  in an engine and  decided to return to the airport. The plane made a 270 degree turn in the final approach, stalled  and crashed to the ground.",2003,6,"Jun",NA,"Belo Horizonte",-19.915,-43.915,"Brazil","BR","BRA","Minas Gerais","admin",5575000,1076967355
"240","belo horizonte","11/06/2004","belo horizonte, brazil","Air taxi - Aero Air Taxi","Belo Horizxonte - Juiz de For a","EMB 820C Navajo",4,4,0,1,0,"After taking and climbing the crew noticed oil  low pressure reading and decided to return to Belo Horizonte. After completing a turn the aircraft entered a dive and crashed and burned.",2004,6,"Jun",NA,"Belo Horizonte",-19.915,-43.915,"Brazil","BR","BRA","Minas Gerais","admin",5575000,1076967355
"241","belo horizonte","11/01/1991","belo horizonte, brazil","Belair - Air Taxi","","Learjet 25C",5,5,0,1,0,"Crashed in a rainstorm.",1991,1,"Jan",NA,"Belo Horizonte",-19.915,-43.915,"Brazil","BR","BRA","Minas Gerais","admin",5575000,1076967355
"242","beni","11/10/1985","beni, bolivia","Sabeni","Beni - La Paz","Curtiss C-46D",2,2,0,1,0,"Crashed into mountains while en route.",1985,10,"Oct",NA,"Beni",0.4904,29.45,"Congo (Kinshasa)","CD","COD","Nord-Kivu","",332903,1180325051
"243","beni","02/03/1992","beni, bolivia","Frigorifico Santa Rita","Estencia el Trompillo - La Paz","Curtiss C-46T",5,5,0,1,0,"The cargo plane failed to gain altitude, cleared a fence and crashed to the ground. The wet runway contributed to the failure lift in a timely manner.",1992,3,"Mar",NA,"Beni",0.4904,29.45,"Congo (Kinshasa)","CD","COD","Nord-Kivu","",332903,1180325051
"244","bergen","26/06/1978","bergen, norway","Helikopter Service","Bergen - Stratjford-A","Sikorsky S-61N",18,18,0,1,0,"The helicopter crashed 87 miles northwest of Bergen on a ferry run to an oil drillilng platform.",1978,6,"Jun",NA,"Bergen",60.391,5.3245,"Norway","NO","NOR","Hordaland","admin",213585,1578465701
"245","berlin","05/04/1948","berlin, germany","British European Airways / Military - Soviet Air Force","","Vickers Viking 1B & Soviet YAK-3 fighter",15,15,0,1,0,"The aircraft was circling Gatow in preparation for landing when the DC-3 collided head on with the Russian Air Force Yakovlev 3 fighter, which was performing aerobatics. A total of 14 killed on the Vickers Viking and one on the YAK fighter. The collision was caused by the action of the Yak fighter's pilot, which was in disregard of the accepted rules of flying.",1948,4,"Apr",NA,"Berlin",52.5218,13.4015,"Germany","DE","DEU","Berlin","primary",3406000,1276451290
"246","berlin","29/10/1940","berlin, germany","Deutsche Lufthansa","","Douglas DC-3",15,2,13,0.13,0,"Weather related.",1940,10,"Oct",NA,"Berlin",52.5218,13.4015,"Germany","DE","DEU","Berlin","primary",3406000,1276451290
"247","berlin","19/12/1929","berlin, germany","Deutsche Lufthansa","","Arado V1",3,2,1,0.67,0,"Forced landing 40 miles from Berlin.",1929,12,"Dec",NA,"Berlin",52.5218,13.4015,"Germany","DE","DEU","Berlin","primary",3406000,1276451290
"248","berlin","12/12/1986","berlin, east germany","Aeroflot","Minsk - Berlin","Tupolev TU-134A",82,70,12,0.85,0,"The aircraft crashed after landing on the wrong runway in fog. The crew did not understand the English instructions that the right runway was closed for repairs.",1986,12,"Dec",NA,"Berlin",52.5218,13.4015,"Germany","DE","DEU","Berlin","primary",3406000,1276451290
"249","berlin","30/11/1954","berlin, new hampshire","Northeast Airlines","Laconia, NH - Berlin, NH","Douglas DC-3",7,2,5,0.29,0,"The aircraft crashed during an ILS approach to Berlin. Premature and unauthorized instrument descent to an altitude that did not permit terrain clearance.",1954,11,"Nov",NA,"Berlin",52.5218,13.4015,"Germany","DE","DEU","Berlin","primary",3406000,1276451290
"250","berlin","15/03/1949","berlin, germany","Skyways","","Avro 685 York I",3,3,0,1,0,"The cargo plane crashed while attempting to land.",1949,3,"Mar",NA,"Berlin",52.5218,13.4015,"Germany","DE","DEU","Berlin","primary",3406000,1276451290
"251","berlin","17/06/1989","berlin, germany","Interflug","Berlin - Moscow","Ilyushin IL-62MK",113,20,93,0.18,1,"The pilot aborted the takeat liftafter it was discovered the rudder and elevator were jammed. When the command was given to apply reverse thrust  the flight engineer switched the engines by mistake. The aircraft overran runway, collided with obstacles and caught fire. Jammed rudder and elevator.",1989,6,"Jun",NA,"Berlin",52.5218,13.4015,"Germany","DE","DEU","Berlin","primary",3406000,1276451290
"252","bern","03/03/1986","bern, switzerland","Taxair","","Cessna 425 Conquest",8,8,0,1,0,"",1986,3,"Mar",NA,"Bern",46.9167,7.467,"Switzerland","CH","CHE","Bern","primary",275329,1756374318
"253","bessemer","01/12/2001","bessemer, alabama","Air Carriers","Little Rock - Bessemer","Cessna 208B Grand Caravan",2,2,0,1,0,"The cargo plane crashed into high ground less than 5 miles from the airport while on an ILS approach. The poor in-flight planning by the pilot-in-command for his initiation of the ILS approach to runway 05 with weather conditions below minimums for the approach contrary to the Federal Aviation Regulations, and the failure of the pilot to maintain control of the airplane during a missed approach resulting in the in-flight collision with trees then terrain.",2001,12,"Dec",NA,"Bessemer",33.3709,-86.9713,"United States","US","USA","Alabama","",26511,1840013732
"254","biak","16/07/1957","biak, indonesia","KLM Royal Dutch Airlines","Mokmer - Manila","Lockheed 1049C Super Constellation",68,58,10,0.85,0,"The pilot asked for clearance to make a low pass over Mokmer to give the passengers a final glimpse of the island. The plane gradually descended sea, crashed, burst into flames, broke apart and sank. Crew did not properly monitor their altitude.",1957,7,"Jul",NA,"Biak",-1.1615,136.0485,"Indonesia","ID","IDN","Papua","minor",103610,1360911386
"255","bilbao","14/01/2002","bilbao, spain","Ibertrans Aí©rea","Madrid - Bilbao","Embraer EMB-120 Brasilia",3,3,0,1,0,"While descending, the cargo plane struck Mount Santa Maria Vieja, 35 km from the airport in fog and poor visibility.",2002,1,"Jan",NA,"Bilbao",43.25,-2.93,"Spain","ES","ESP","Basque Country","minor",875552,1724331267
"256","billings","01/08/1976","billings, vermont","Mamer - Shreck  - Air Taxi","Billings, MT - Cody, WY","Beechcraft S35",4,3,1,0.75,0,"Crashed in rain and low ceiling. Continued VFR flight into adverse weather.",1976,8,"Aug",NA,"Billings",45.7892,-108.5498,"United States","US","USA","Montana","",121550,1840018496
"257","billings","08/07/1938","billings, montana","Northwest Orient Airlines","Seattle - Chicago","Lockheed 14 Super Electra",10,10,0,1,0,"While taking from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact.",1938,7,"Jul",NA,"Billings",45.7892,-108.5498,"United States","US","USA","Montana","",121550,1840018496
"258","billings","08/12/1945","billings, montana","Military - U.S. Army","Newark, N.J. - Seattle, WA","Douglas C-47",21,17,4,0.81,0,"Crashed into a field after hitting trees while attempting to land in a snowstorm.",1945,12,"Dec",NA,"Billings",45.7892,-108.5498,"United States","US","USA","Montana","",121550,1840018496
"259","billings","23/05/2008","billings, montana","Alpine AviationŒæ","Billings - Great Falls","Beechcraft 1900C",1,1,0,1,0,"After taking and  being told to turn left, the cargo plane, carrying mail, started a slow right turn until it crashed into a warehouse and burst into flames. The plane appeared to be inverted before it crashed. The pilot's failure to maintain aircraft control during the initial climb for undetermined reasons.",2008,5,"May",NA,"Billings",45.7892,-108.5498,"United States","US","USA","Montana","",121550,1840018496
"260","binghamton","22/03/1970","binghamton, new york","Commuter Airline - Air Taxi","Binghamton, NY - Washington DC","Beechcraft C-45H",11,3,8,0.27,0,"Ran end of runway, crashed and burned while attempting to take off. Attempted take with snow on wings. Take aborted too late to remain on runway.",1970,3,"Mar",NA,"Binghamton",42.1014,-75.9092,"United States","US","USA","New York","",152392,1840000460
"261","biratnagar","19/11/1981","biratnagar, nepal","Royal Nepal Airlines","","Pilatus PC-6/B2-H2 Turbo-Porter",10,10,0,1,0,"Crashed after takeoff.",1981,11,"Nov",NA,"Biratnagar",26.4837,87.2833,"Nepal","NP","NPL","","",182324,1524520011
"262","birmingham","06/01/1946","birmingham, alabama","Pennsylvania Central Airlines","New York City - Birmingham, AL","Douglas DC-3",11,3,8,0.27,0,"In worsening weather conditions, the plane landed fast and high while making an instrument approach to Birmingham, overran the runway, crashed through the barrier fence and into a creek. The action of the pilot in committing himself to a landing from an approach which was too high and too fast.",1946,1,"Jan",NA,"Birmingham",52.475,-1.92,"United Kingdom","GB","GBR","Birmingham","admin",2285000,1826423213
"263","birmingham","04/01/2002","birmingham, england","Agco Corp","Birmingham, England - Bangor, MA","Canadair CL-604",5,5,0,1,0,"After taking off, banked to the left, wing contacted ground, a fire erupted and the aircraft broke up. Failure of the crew to de-ice the wings before takeoff. Possible impairment of crew performance by the combined effects of a non-prescription drug, jet-lag and fatigue were also considered factors.",2002,1,"Jan",NA,"Birmingham",52.475,-1.92,"United Kingdom","GB","GBR","Birmingham","admin",2285000,1826423213
"264","birmingham","10/07/1991","birmingham, alabama","L'Express Airlines","New Orleans - Mobile - Birmingham","Beechcraft BE-99-C99",15,13,2,0.87,0,"While the aircraft was on approach, it entered an area of thunderstorms. The aircraft rolled left and pitched up as the aircraft approached level flight. The aircraft then stalled and started to descend. The descent couldn't be arrested and the aircraft crashed into a residential area, destroying two homes and two automobiles.  Decision by the pilot-in-command to continue instrument approach into thunderstorm conditions resulting in loss of control of the aircraft. The pilot and one passenger survived the accident.",1991,7,"Jul",NA,"Birmingham",52.475,-1.92,"United Kingdom","GB","GBR","Birmingham","admin",2285000,1826423213
"265","bishkek","24/08/2008","bishkek, kyrgyzstan","Itek Air","Bishkek - Tehran, Iran","Boeing B-737-219",90,68,22,0.76,0,"The plane crashed shortly after taking from Manas International Airport. The crew reported a technical problem 10 minutes into the flight and said they were returning to the airport when it crashed 6 miles from the airport. The Iran Aseman Airlines flight was being carried out by Itek Air. Pilot error",2008,8,"Aug",NA,"Bishkek",42.8731,74.5852,"Kyrgyzstan","KG","KGZ","Bishkek","primary",837000,1417191971
"266","bishop","12/02/1999","bishop, california","Ameriflight","Tonopath - Bishop","Beechcraft C99",1,1,0,1,0,"The cargo plane crashed into a mountain en route. The pilot's failure to follow procedures and directives and his failure to maintain clearance from mountainous terrain.",1999,2,"Feb",NA,"Bishop",37.3665,-118.3958,"United States","US","USA","California","",9687,1840018955
"267","bishop","13/03/1974","bishop, california","Sierra PacifiAirlines","Bishop - Burbank","Convair CV-440",36,36,0,1,0,"The aircraft crashed into Poleta Ridge, in the foothills of  the White Mountains at 6,100 ft.  The Wolper Productions Inc. movie crew was being flown from Bishop to Burbank. The flight was being conducted under VFR conditions. It could not be determined why the crew did not maintain a safe distance from hazardous terrain.",1974,3,"Mar",NA,"Bishop",37.3665,-118.3958,"United States","US","USA","California","",9687,1840018955
"268","biskra","26/07/1969","biskra, algeria","Air Algerie","Paris - Hassi Messaoud","Sud Aviation SE-210 Caravelle 6N",37,33,4,0.89,0,"Crash landed while attempting an emergency landing after a fire in an electrical panel led to a cabin fire.",1969,7,"Jul",NA,"Biskra",34.86,5.73,"Algeria","DZ","DZA","Biskra","admin",202103,1012947247
"269","blace","12/01/2008","blace, macedonia","Military - Macedonian Air Force","Bosnia - Skopje, Macedonia","Mi-17 Helicopter",11,11,0,1,0,"The helicopter crashed 15 miles southeast of Skopje in heavy fog while attempting to land. The aircraft was returning from European Union-led peacekeeping operations in Bosnia.",2008,1,"Jan",NA,"Blace",43.297,21.2727,"Serbia","RS","SRB","Blace","admin",NA,1688233004
"270","blackpool","29/06/1972","blackpool, england","Inter City Flug","","MBB HFB-320 Hansa Jet",8,7,1,0.88,0,"The takewas aborted and the plane overran the runway and crashed into a camp and caught fire. Elevator gust locks not removed.",1972,6,"Jun",NA,"Blackpool",53.8304,-3.05,"United Kingdom","GB","GBR","Blackpool","admin",272792,1826093175
"271","blair","24/10/1974","blair, oklahoma","AltusFlying Service - Air Taxi","Dallas, TX - Altus, OK","Piper PA-31",4,2,2,0.5,0,"Collided with the ground on final apporach in rain and fog. ATC failed to provide radar vectoring as requested. Pilot descended below MDA.",1974,10,"Oct",NA,"Blair",41.5417,-96.1361,"United States","US","USA","Nebraska","",7941,1840007094
"272","blida","30/06/2003","blida, algeria","Military - Algerian Air Force","Training","Lockheed C-130H Hercules",4,4,0,1,11,"The military plane crashed into houses in the Beni Mered neighborhood, west of the Algerian capital, shortly after takefrom the Boufarik military airport, 25 miles southwest of the capital. Witnesses reported seeing an engine on fire prior to the crash.",2003,6,"Jun",NA,"Blida",36.4203,2.83,"Algeria","DZ","DZA","Blida","admin",511348,1012045589
"273","bloomington","22/10/1979","bloomington, indiana","Rhoadgs Aviation - Air Taxi","Centrailia, IN - Columbus, IN","Cessna 310",2,2,0,1,0,"Crashed after flying into a tornado watch area. Continued flight into known areas of severe turbulence.",1979,10,"Oct",NA,"Bloomington",40.4756,-88.9698,"United States","US","USA","Illinois","",135015,1840007207
"274","boende","29/11/2003","boende, congo","Military - Congolese Air Force","Boende, Congo - Kinshasa, Congo","Antonov AN-26",24,20,4,0.83,13,"The aircraft suffered a blowout of a tire while taking for the second time after aborting the first takeoff. The pilot was not able to stop the aircraft and overran the runway and crashed into a small market square",2003,11,"Nov",NA,"Boende",-0.2196,20.86,"Congo (Kinshasa)","CD","COD","Tshuapa","admin",32091,1180688906
"275","bogota","15/01/1976","bogota, colombia","Taxi Aereo el Venado","Bogota - La Macarene","Douglas C-54A",13,13,0,1,0,"Hit an 11,620 ft. mountain in poor weather.",1976,1,"Jan",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"276","bogota","10/07/1975","bogota, colombia","Aerovias Condor","Bogota  - Barranquilla","Lockheed L-188AF Electra",4,2,2,0.5,0,"The cargo plane barely took when it settled back on the runway and crashed into a DC-6. Both planes destroyed.",1975,7,"Jul",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"277","bogota","15/02/1947","bogota, colombia","AVIANCA","Barranquilla - Bogota","Douglas DC-4",53,53,0,1,0,"The plane crashed into Mt. El Tabalazo at 10,500 feet in fog while en route.",1947,2,"Feb",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"278","bogota","29/04/1978","bogota, colombia","LAC Colombia","Bogota - Barranquilla","Douglas C-118A",12,8,4,0.67,0,"Crashed on farmland six miles outside of Bogota shortly after taking off.",1978,4,"Apr",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"279","bogota","19/04/1960","bogota, colombia","Lloyd Aereo Colombiano","Miami - Medellin - Bogota","Curtiss C-46",51,37,14,0.73,0,"Crashed during final approach. The pilot failed to take proper action to counteract the loss of speed and height in the final approach turn. Lack of pilot experience.",1960,4,"Apr",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"280","bogota","19/09/1992","bogota, colombia","Avesca Colombia","Villavicencio - Mitu","Curtiss C-46F-1-CU",11,11,0,1,0,"Crashed short of the runway after attempting an emergency return to the airport after takeoff. Engine failure.",1992,9,"Sep",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"281","bogota","08/03/1964","bogota, colombia","Taxi Aereo de Santander","Pereira - Bogota","Douglas DC-3",28,28,0,1,0,"Crashed during final approach. Evasive maneuver to avoid a mid-air collision with another aircraft caused the pilot to lose control of the aircraft.",1964,3,"Mar",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"282","bogota","20/02/1993","bogota, colombia","Cargo Three Panama","","Convair CV-440",2,2,0,1,0,"The cargo plane attempted to return to the airport after an engine caught fire but crashed in a field.",1993,2,"Feb",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"283","bogota","24/07/1974","bogota, colombia","Aeronorte Colombia","","Douglas DC-4",3,3,0,1,0,"The cargo plane crashed into a mountain at 7,000 ft. shortly after taking off.",1974,7,"Jul",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"284","bogota","22/09/1966","bogota, colombia","Avianca","Bogota - Barranquilla","Douglas DC-4",2,2,0,1,0,"The cargo plane struck trees at the end of the runway after trying to make an emergency landing. Material failure consisting in fatigue failure of a number of teeth of the pinion of the governor control unit, which was jammed against the rack in the 'up' position and therefore set for maximum rpm, thus causing the engine to overspeed. This would be in keeping with the fact that the dome ring was at maximum low pitch setting, i.e. high rpm and a runway propeller on take-off.",1966,9,"Sep",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"285","bogota","20/04/1998","bogota, colombia","Air France","Bogota - Quito","Boeing B-727-230",53,53,0,1,0,"The aircraft, leased from TAME, crashed atop fog covered Cerro el Cable mountain and exploded into flames, three minutes after taking from Bogota's El Dorado airport. The aircraft was leased to Air France by TAME airlines. The crew did not turn in the proper direction after reaching the Romeo non-directional beacon even though the flight crew acknowledged an air trafficontroller's warning that they were course.",1998,4,"Apr",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"286","bogota","13/08/1949","bogota, colombia","SAETA","Bogota - Ibague","Douglas C-47",32,32,0,1,0,"Crashed in the Andes mountains while  en route.",1949,8,"Aug",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"287","bogota","22/08/1979","bogota, colombia","SATENA","","Hawker Siddeley HS-748",1,1,0,1,3,"Illegal flight.",1979,8,"Aug",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"288","bogota","18/12/1966","bogota, colombia","Aerocondor de Colombia","Miami - Bogota","Lockheed L-1649A Starliner",59,17,42,0.29,0,"Crash landed short of the runway on approach in fog. Pilot error. Presence of unauthorized person in the cockpit distracting the pilot. Lack of cockpit supervision. Poor weather.",1966,12,"Dec",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"289","bogota","23/03/1994","bogota, colombia","Orion - Air Taxi","Manaus - Bogota","Cessna 650 Citation VI",4,4,0,1,0,"The plane crashed during an approach to Bogota.",1994,3,"Mar",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"290","bogota","27/11/1989","bogota, colombia","AVIANCA","Bogota - Cali","Boeing B-727-21",107,107,0,1,3,"The plane burst into flames and crashed shortly after taking from El Dorado Airport. Detonation of an explosive device placed on the floor on the starboard side of the passenger cabin at seat 15F which ignited fuel vapors in an empty fuel tank. The bomb was placed by members of the drug cartel headed by Pablo Escobar in an attempt to kill presidental candidate Cesare Gaviria. He was not aboard the flight.",1989,11,"Nov",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"291","bogota","27/08/1973","bogota, colombia","Aerovias Brasil","Bogota - Cartagena","Lockheed L-188A Electra",42,42,0,1,0,"Crashed into El Cable Mountain after taking in fog.",1973,8,"Aug",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"292","bogota","02/04/1951","bogota, colombia","AVIANCA","","Douglas DC-3",26,26,0,1,0,"",1951,4,"Apr",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"293","bogota","07/07/2008","bogota, colombia","Centurian Air Cargo","Bogota, Colombia - Miami, FL","Boeing B-747-209BSF",8,0,8,0,3,"The cargo plane carrying a load of flowers had taken from Bogota when the crew radioed that they had an engine fire. They attempted to return to the airport, but crashed in a field and destroyed a farm house killing three people inside.",2008,7,"Jul",NA,"Bogota",4.5964,-74.0833,"Colombia","CO","COL","BogotÃ¡","primary",7772000,1170483426
"294","boise","13/05/1995","boise, idaho","Military - U.S. Air Force","Boise, ID - Colorado Springs, CO","Lockheed C-130E Hercules",6,6,0,1,0,"An engine caught fire shortly after takeand the aircraft was not able to make an emergency landing and crashed.",1995,5,"May",NA,"Boise",43.5991,-116.2306,"United States","US","USA","Idaho","admin",379410,1840027142
"295","boise","09/12/1996","boise, idaho","Emery Worldwide","Boise - Salt Lake City","Douglas C-47A",2,2,0,1,0,"Shortly after take the crew reported they had the right engine on fire. They attempted to return for an emergency landing but the cargo plane crashed right wing low, cartwheeled and burst into flames short of the runway. A fire within the right engine compartment of undetermined cause and the pilot-in-command's failure to maintain airspeed above the aircraft's minimum control speed. A factor contributing to the accident was the dark night environmental conditions",1996,12,"Dec",NA,"Boise",43.5991,-116.2306,"United States","US","USA","Idaho","admin",379410,1840027142
"296","bolivar","18/12/1954","bolivar, venezuela","Linea Aeropostal Venezolana","","Douglas C-47A",2,2,0,1,0,"The cargo plane crashed into a mountain.",1954,12,"Dec",NA,"Bolivar",35.2656,-89.0148,"United States","US","USA","Tennessee","",5089,1840013465
"297","bolivar","08/12/1957","bolivar, argentina","Aerolineas Argentinas","Buenos Aires - San Carlos","Douglas DC-4",61,61,0,1,0,"The plane crashed during a storm. Left wing detached in extreme turbulence. The pilot descending on a track well below the minimum safety flight altitude established for this type of operation. The absence in the flight plan of a forecast showing the intensity of the meteorological phenomena encountered. Inadequate operational dispatch of the aircraft.",1957,12,"Dec",NA,"Bolivar",35.2656,-89.0148,"United States","US","USA","Tennessee","",5089,1840013465
"298","boma","17/07/1994","boma, democratirepublicongo","Sankuru Air Service","Training","Yakovlev 40D",9,5,4,0.56,0,"Ran the end of the runway and crashed. The crew used the normal and emergency brake systems at the same time which resulted in the aircraft having no brakes at all.",1994,7,"Jul",NA,"Boma",-5.83,13.05,"Congo (Kinshasa)","CD","COD","Kongo Central","",178638,1180611452
"299","bordeaux","24/09/1959","bordeaux, france","T.A. Intercontinentaux (France)","Bordeaux - Bamako","Douglas DC-7C",65,53,12,0.82,0,"Crashed shortly after takeoff, not gaining altitude and colliding with trees. Crew did not properly monitor altimeter.",1959,9,"Sep",NA,"Bordeaux",44.85,-0.595,"France","FR","FRA","Nouvelle-Aquitaine","admin",803000,1250449238
"300","bordeaux","08/05/1951","bordeaux, france","Hunting Air Travel","Bordeaux - Bovingdon","Vickers 639 Viking 1",32,2,30,0.06,0,"No. 1 engine failed shortly after taking off.  Altitude could not be maintained and an emergency belly landing was made in a field. The disconnecting of the articulated control rod of the propeller governor due to the lack of a split pin on the governor spindle and to the nut of the ball-joint of the control spindle having been unscrewed by force.",1951,5,"May",NA,"Bordeaux",44.85,-0.595,"France","FR","FRA","Nouvelle-Aquitaine","admin",803000,1250449238
"301","bordeaux","21/12/1987","bordeaux, france","Air Littoral","Brussels - Bordeaux","Embraer 120 Brasilia",16,16,0,1,0,"Crashed short of the runway and struck trees in fog after being diverted due to the weather.",1987,12,"Dec",NA,"Bordeaux",44.85,-0.595,"France","FR","FRA","Nouvelle-Aquitaine","admin",803000,1250449238
"302","boston","28/02/1963","boston, massachusetts","Air Lines","","Douglas DC-7",26,0,26,0,1,"With engines idling, a girl ran into the No. 2 propeller despite warnings of ramp personnel. Suicide.",1963,2,"Feb",NA,"Boston",42.3189,-71.0838,"United States","US","USA","Massachusetts","admin",4556916,1840000455
"303","boston","05/06/1930","boston, massachusetts","Colonial Air Transport","","Ford Tri-Motor 5",15,1,14,0.07,0,"Crashed into Boston Harbor after loosing the right  engine on takeoff.",1930,6,"Jun",NA,"Boston",42.3189,-71.0838,"United States","US","USA","Massachusetts","admin",4556916,1840000455
"304","boston","10/03/1964","boston, massachutes","Slick Airways - Cargo","New York - Winsor Locks - Boston","Douglas DC-4",3,3,0,1,0,"While on approach, the cargo plane suddenly pitched down and crashed short of the runway. Loss of balancing forces on the horizontal surface of the empennage of the aircraft, due to ice accretion, causing the aircraft to pitch nose down at an altitude too low to effect recovery.",1964,3,"Mar",NA,"Boston",42.3189,-71.0838,"United States","US","USA","Massachusetts","admin",4556916,1840000455
"305","boston","04/10/1960","boston, massachusett","Air Lines","Boston - Philadelphia","Lockheed 188A Electra",72,62,10,0.86,0,"A few seconds after becoming airborne, the aircraft struck a flock of starlings. A number of these birds were ingested in engines No. 1, 2, and 4.  Engine No. 1 was shut down and its propeller was feathered. Engines No. 2 and 4 experienced a substantial momentary loss of power. This abrupt and intermittent loss and recovery of power resulted in the aircraft yawing to the left and decelerating to the stall speed. As speed decayed during the continued yaw and skidding left turn, the stall speed was reached; the left wing dropped, the nose pitched up, and the aircraft rolled left into a spin and fell almost vertically into the water. An altitude of less than 150 feet precluded recovery.",1960,10,"Oct",NA,"Boston",42.3189,-71.0838,"United States","US","USA","Massachusetts","admin",4556916,1840000455
"306","boston","03/11/1973","boston, massachusett","Pan American World Airways","New York City - Prestwick","Boeing B-707-321C",3,3,0,1,0,"Smoke in the cockpit and uncontrollable fire caused by spillage of nitriacid on sawdust packing in the cargo hold. The aircraft was named 'Clipper Titian.'",1973,11,"Nov",NA,"Boston",42.3189,-71.0838,"United States","US","USA","Massachusetts","admin",4556916,1840000455
"307","bowling green","02/06/1933","bowling green, virginia","Air Transport","","Pitcairns PA-6",1,1,0,1,0,"The mail plane crashed into a ravine.",1933,6,"Jun",NA,"Bowling Green",41.3772,-83.65,"United States","US","USA","Ohio","",32335,1840000621
"308","bozeman","10/01/1938","bozeman, montana","Northwest Orient Airlines","Seattle - Billings - Chicago","Lockheed 14H Super Electra",10,10,0,1,0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter 'natural resonance, or period of vibration' which resulted in the separation of the rudder and fins and loss of control of the aircraft.",1938,1,"Jan",NA,"Bozeman",45.6828,-111.0545,"United States","US","USA","Montana","",52391,1840018509
"309","brainerd","09/01/1983","brainerd, minnesota","RepubliAirlines","Minneapolis-St Paul - Brainerd","Convair 580-11A",33,1,32,0.03,0,"The plane landed 1,725 feet beyond the runway threshold, right wing down, veered to the right until the right propeller struck a 2 to 3 foot snow bank. The blade separated from the engine and penetrated the cabin. Proper alignment not attained by pilot in command. Terrain condition, snow bank. Lack of NOTAM. Improper snow removal.",1983,1,"Jan",NA,"Brainerd",46.3551,-94.1981,"United States","US","USA","Minnesota","",19459,1840006644
"310","branson","03/11/1964","branson, colorado","Mustang Aviati","","Beechcraft C45G",5,5,0,1,0,"Crashed while en route after pilot continued VFR flight into adverse weather conditions.",1964,11,"Nov",NA,"Branson",36.6504,-93.2636,"United States","US","USA","Missouri","",24603,1840007659
"311","branson","09/12/1999","branson, missouri","College of the Ozarks","Saint Louis - Branson","Cessna 525 Citation",6,6,0,1,0,"The executive jet descended below minimums and struck the side of a hill while attempting to land at Point Lookout. The pilot descended below the minimum altitude for the segment of the GPS approach. Factors relating to the accident were low ceilings, rain, and pilot fatigue.",1999,12,"Dec",NA,"Branson",36.6504,-93.2636,"United States","US","USA","Missouri","",24603,1840007659
