"","City","Date","Location","Operator","Route","Type","Aboard","Fatalities","Survived","Ratio","Ground","Summary","Year","Month","month","X","Latitude","Longitude"
"165","boulogne-sur-mer","14/11/1925","boulogne-sur-mer, france","Air Union","","Farman F-60 Goliath",2,2,0,1,0,"",1925,11,"Nov",NA,50.720702,1.604562
"166","brasilia","22/12/1962","brasilia, brazil","Varig","Rio de Janeiro - Brasilia","Convair CV-240-2",40,1,39,0.03,0,"Crashed short of the runway, striking trees. The aircraft descended below the prescribed altitude for undetermined reasons.",1962,12,"Dec",NA,-14.6833333,-65.1166667
"167","brazil","14/10/1931","brazil","Syndicato Condor","","Dornier Wal",3,3,0,1,0,"",1931,10,"Oct",NA,1.634138,-75.571898
"168","brazil","03/12/1928","brazil","Syndicato Condor","","Dornier Wal",14,14,0,1,0,"The seaplane took form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",1928,12,"Dec",NA,1.634138,-75.571898
"169","brazzaville","14/04/1997","brazzaville, democratirepublicongo","TAAG Angola Airlines","Brazzaville - Luanda","Fokker F-27 Friendship 600",7,3,4,0.43,0,"The cargo plane became airborne but soon lost altitude and crashed to the ground and burst into flames.",1997,4,"Apr",NA,-4.2591667,15.2847222
"170","brazzaville","09/09/2005","brazzaville, congo","Air Kasai","Boende - Kinshasa","Antonov AN-26A",14,14,0,1,0,"While en route, a witness saw the plane lose altitude and crash to the ground and disintegrate into pieces north of Brazzaville. Weather was poor with thunderstorms and strong winds.",2005,9,"Sep",NA,-4.2591667,15.2847222
"171","bremen","28/01/1966","bremen, germany","Lufthansa","Frankfurt - Bremen","Convair CV-440-0",46,46,0,1,0,"Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.",1966,1,"Jan",NA,-33.463385,-62.731966
"172","bridgeport","27/03/1958","bridgeport, texas","Military - U.S. Air Force/Military - U.S. Air Force","","Douglas C-124C / Fairchild C-119C",18,18,0,1,0,"Collided in midair while cruising at 6,000 ft. Both aircraft crashed into farmlands killing all aboard. The pilot of the 49-195A was flying at the wrong altitude.",1958,3,"Mar",NA,43.483333,-80.483333
"173","bridgetown","08/01/1996","bridgetown, barbados","Mustique Airways","Union Island - Bridgetown","Britten-Norman BN-2A-27 Islander",10,1,9,0.1,0,"After losing an engine the plane began to lose altitude and ditched in the AtlantiOcean 30 km southwest of Bridgetown.",1996,1,"Jan",NA,-33.962421,116.135979
"174","bridgetown","06/10/1976","bridgetown, barbados","Cubana de Aviacion","Bridgetown - Kingston","McDonnell Douglas DC-8-43",73,73,0,1,0,"Ten minutes after taking from Barbados the aircraft reported an explosion aboard. The plane was seen below the overcast trailing smoke. The aircraft crashed into the Caribbean sea. Detonation of an explosive device in the aft of the cabin which initiated an uncontrollable fire which led to the incapacitation of the crew.",1976,10,"Oct",NA,-33.962421,116.135979
"175","bristol","06/11/1957","bristol, england","Bristol Aeroplane Co.","","Bristol Britannia 175",15,15,0,1,0,"Crashed on a training flight. The right wing suddenly dropped and the aircraft went into a very steeply banked right hand turn and crashed. Instrument failure leading to loss of control. Undetermined cause. Possible failure of the auto-pilot.",1957,11,"Nov",NA,46.15,-64.183333
"176","broome","03/03/1942","broome, australia","Military - U.S. Army Air Force","","Consolidated B-24 Liberator",33,19,14,0.58,0,"",1942,3,"Mar",NA,-17.955379,122.23922
"177","brunswick","20/05/1958","brunswick, maryland","Capital Airlines / Military - Air National Guard","Pittsburgh - Baltimore","Vickers Viscount 745D / T-33A",11,11,0,1,0,"Midair collision at 8,000 ft., four miles ENE of Brunswick. Failure of the T-33A pilot to exercise a proper see and avoid procedure to avoid other traffic. One aboard the T-33 ejected safely, all aboard the Viscount were killed.",1958,5,"May",NA,-28.54154,153.548096
"178","brunswick","15/03/1973","brunswick, maine","Military - U.S. Navy","","Lockheed P-3B Orion",5,5,0,1,0,"Crashed into the sea.",1973,3,"Mar",NA,-28.54154,153.548096
"179","brunswick","05/04/1991","brunswick, georgia","AtlantiSoutheast Airlines","Atlanta - Brunswick","Embraer 120RT- Brasilia",23,23,0,1,0,"Just after turning onto final approach, the aircraft suddenly rolled left until the wings were perpendicular to the ground and crashed in a nose down attitude 2 miles short of  the runway. Malfunction of the left engine propeller control unit which allowed the propeller blade angle to go below the flight idle position. Contributing to the accident was the deficient design of the propeller control unit by Hamilton Standard and the approval of the design by the FAA . Texas Senator John Tower, 66, his daughter and astronaut Manley 'Sonny' Carter were among those killed.",1991,4,"Apr",NA,-28.54154,153.548096
"180","bua","12/07/1979","bua, fiji","Fiji Air Services","Suva-Nausori - Bua-Dama","Britten Norman BN-2A Trislander",9,9,0,1,0,"Crashed into a rain forest. Pilot-in-command continuing the flight into conditions where he lost visual reference with the ground which resulted in the aircraft colliding with terrain.",1979,7,"Jul",NA,-7.15,13.2
"181","buca","03/05/1963","buca, cameroon","Air Afrique","Douala - Lagos","Douglas DC-6B",55,55,0,1,0,"The aircraft flew into a mountain at 6,500 ft. Navigation error. Crew choose to fly a prohibited route at too low an altitude.",1963,5,"May",NA,35.864071,64.935165
"182","bucaramanga","17/10/1965","bucaramanga, colombia","AVIANCA","Bogota - Bucaramanga","Douglas DC-3 / Piper PA-18A",19,19,0,1,0,"Midair collision between a Douglas DC-3 and Piper PA-18.  Eighteen killed on the DC-3, one on the Piper.",1965,10,"Oct",NA,8.788333,-76.035556
"183","buenavista","11/07/1984","buenavista, philippines","Military - Philippine Air Force","","Bell UH-1H",30,30,0,1,0,"Crashed into the PacifiOcean the coast of Marinduque Island.",1984,7,"Jul",NA,6.573611,-75.933889
"184","buenos aires","31/08/1999","buenos aires, argentina","LAPA, Lineas Aereas Privadas Argentinas","Buenos Aires - Cordoba","Boeing B-737-204C",103,64,39,0.62,10,"While attempting to take from Jorge Newberry airport, the crew aborted takeoff, overran the runway, skidded across a service road and crashed into several cars and into a golf course, bursting into flames.  The crew had the wrong flap selection for takeoff.",1999,8,"Aug",NA,-34.5875,-58.6725
"185","buenos aires","11/01/1957","buenos aires, argentina","Fuerza Aí©rea Argentina","Buenos Aires - Mar Del Plata - Mendoza","Vickers 615 Viking 1B",33,17,16,0.52,1,"The domestiflight crashed and burned immediately after takefrom Buenos Aires after overrunning the runway. Too short a runway and excessive cross-winds for the type of aircraft.",1957,1,"Jan",NA,-34.5875,-58.6725
"186","buenos aires","26/10/2003","buenos aires, argentina","CATA Linea Aerea","","Fairchild Hiller FH-227B",5,5,0,1,0,"Three minutes after taking from Buenos Aires Airport the crew reported a technical problem and asked to turn around. They were cleared to land on Runway 17 but crashed 30 km southwest of Buenos Aires.",2003,10,"Oct",NA,-34.5875,-58.6725
"187","buenos aires","30/06/1961","buenos aires, argentina","Transcontinental","Salta - Cordoba - Buenos Aires","Curtiss C-46A",35,24,11,0.69,0,"Crashed into a trees and telegraph poles on final approach.The pilot failed to follow the instrument approach procedures during the approach.",1961,6,"Jun",NA,-34.5875,-58.6725
"188","buenos aires","29/07/1948","buenos aires, argentina","ALFA","Rosario - Bueno Aires","Short Sandringham 2 (flying boat)",24,18,6,0.75,0,"Crashed and sank the shore of the River Plate while attempting to land in fog.",1948,7,"Jul",NA,-34.5875,-58.6725
"189","buenos aires","10/05/1930","buenos aires","Aeropostale","","Latecoere 28",4,3,1,0.75,0,"",1930,5,"May",NA,-34.5875,-58.6725
"190","buenos aires","29/09/1994","buenos aires, brazil","Radeair","Cordoba Pajas Blancas - Buenos Aires, Brazil","Rockwell 1121B Jet Commander",9,8,1,0.89,0,"Crashed on takeoff.",1994,9,"Sep",NA,-34.5875,-58.6725
"191","buenos aires","31/12/1957","buenos aires, argentina","Aerolineas Argentinas","Buenos Aires - Rosario - Corrientes","Short Sunderland",51,9,42,0.18,0,"The flying boat sank in Buenos Aires harbor while trying to make an emergency landing after losing an engine.",1957,12,"Dec",NA,-34.5875,-58.6725
"192","buga","23/01/1985","buga, colombia","AIRES Colombia","Florencia - Cali","Embraer 110P1 Bandeirante",17,17,0,1,0,"The aircraft crashed into a mountain at 8,500 ft. while descending to land at Buga. Continued VFR flight into deteriorating weather conditions.",1985,1,"Jan",NA,29.001,92.501
"193","buga","20/12/1995","buga, valle del cauca, colombia","American Airlines","Miami - Cali","Boeing B-757-223",164,160,4,0.98,0,"While on a flight from Miami, FL to Cali, Columbia the aircraft crashed into Mt. El Deluvio 38 miles north of Cali while attempting to land. On approach, the crew was requested to report over Tulua VOR which they already passed. This confused them and they decided to go direct to Rozo beacon. Entering the abbreviation 'R', incorrectly steered the plane towards Bogota. More than a minute into the  turn the crew steered manually toward Cali, but this now took them into the path of a mountain. Crew error. Lack of situational awareness, failure to adequately plan and execute the approach, failure to realize that the FMS had turned the aircraft toward mountains. Crew also neglected to retract the speed brakes after the Ground Proximity Warning System alert.  Lack of adequate radar. Different  Flight Management System naming convention from that published in navigational charts.",1995,12,"Dec",NA,29.001,92.501
"194","bukavu","01/09/2008","bukavu, congo","Air Serv Internatiional/CemAir","Kisangani - Bukavu - Goma","Beechcraft 1900C-1",17,17,0,1,0,"The plane, on a humanitarian flight to Goma, crashed into a ridge 8 miles NW of Bukavu while approaching the airport for a landing in severe weather.",2008,9,"Sep",NA,-2.508333,28.860833
"195","bukavu","03/08/2006","bukavu, democratirepublicongo","Tracep","Lugushwa - Bukavu","Antonov AN-28",17,17,0,1,0,"The aircraft was flying in low cloud and poor weather conditions as it approached the airport at Bukavu when it clipped a mountainside and plunged into the forest in flames 9 miles short of the runway.",2006,8,"Aug",NA,-2.508333,28.860833
"196","bukavu","19/04/2000","bukavu, democratirepublicongo","Kivu Air Services","","Cessna 208B Caravan I",2,2,0,1,0,"The charter flight crashed in the Kahuzi-Biega National Park.",2000,4,"Apr",NA,-2.508333,28.860833
"197","bula","05/08/1983","bula, indonesia","Bali International Air Service","","Britten-Norman BN-2A-21 Islander",2,2,0,1,0,"",1983,8,"Aug",NA,-14.724358,17.685403
"198","bundeena","09/04/2008","bundeena, australia","Avtex Air Services","Sydney - Brisbane","Swearingen SA227AC Metroliner III",1,1,0,1,0,"The pilot of the mail plane reported some minor problems before the aircraft disapppeared radar.",2008,4,"Apr",NA,-34.085018,151.151138
"199","burketown","04/09/2000","burketown, australia","Charter - Central Air","Perth - ","Beechcraft SKA 200",8,8,0,1,0,"Shortly after departing Perth and after the aircraft had climbed through its assigned altitude, the pilotäó»s speech became significantly impaired and he appeared unable to respond to ATS instructions. Open microphone transmissions next 8-minutes revealed the progressive deterioration of the pilot towards unconsciousness and the absence of any sounds of passenger activity in the aircraft. No human response of any kind was detected for the remainder of the flight. Five hours after taking from Perth, the aircraft impacted the ground 65 km ESE of Burketown, Queensland, and was destroyed. Incapacitation of the pilot and passengers a result of hypobarihypoxia due to the aircraft being fully or partially unpressurised and their not receiving supplemental oxygen. The investigation could not determine the reason for the aircraft being unpressurised, or why the pilot and passengers did not receive supplemental oxygen.",2000,9,"Sep",NA,-17.741051,139.547745
"200","byron bay","18/09/1932","byron bay, australia","New England Airways","","De Havilland DH-80",3,3,0,1,0,"",1932,9,"Sep",NA,-28.64201,153.611938
"201","cachimbo","07/12/1960","cachimbo, brazil","REAL","Cuiaba - Manaus","Curtiss C-46A-60-CK",15,15,0,1,0,"The No.2 engine failed while en route. The aircraft lost altitude, crashed in a jungle and burned. Starboard engine failed to feather for reasons unknown.",1960,12,"Dec",NA,-14.603695,17.697417
"202","cadix","26/07/1922","cadix, spain","Grands Express Aeriens","","Breguet 14",3,3,0,1,0,"",1922,7,"Jul",NA,43.976005,2.477247
"203","cairns","01/04/2002","cairns, qld, australia","Air Taxi","Cairns - Hicks Island","Shrike Commander 500S",4,4,0,1,0,"Crashed into low terrain while en route. Why the pilot continued flight into marginal weather conditions at an altitude that was insufficient to ensure terrain clearance, could not be established.",2002,4,"Apr",NA,-16.92304,145.766251
"204","calabar","05/02/1955","calabar, nigeria","West African Airways","Enugu - Calabar","Bristol 170 Freighter 21E",13,13,0,1,0,"Crashed shortly after taking after a wing failed. A design flaw in the wing led to fatigue cracks and wing failure.",1955,2,"Feb",NA,-3.354444,-43.421944
"205","calabar","21/05/2002","calabar, nigeria","Sky Executive Air Services","Port Harcourt - Calabar","LET 410UVP",5,5,0,1,0,"The plane crashed approximately 12 miles from Calabar while attempting to land. All passengers departed at Port Harcourt and only a crew of 5 was aboard. The premature departure of the plane from the normal minimum safe altitude of 2,500 ft. without air trafficontroller's clearance until it flew into the terrain. Other contributing factors were the emergence of electrical problem on the aircraft at the commencement of the approach which might have distracted the  pilot  and unfavorable weather conditions of low ceiling and thunderstorms which impaired visibility at the critical time of descent.",2002,5,"May",NA,-3.354444,-43.421944
"206","calcutta","13/06/1968","calcutta, india","Pan American World Airways","Bangkok - Karachi","Boeing B-707-321C",63,6,57,0.1,0,"Crashed  1,200 meters short of the runway and hit a tree and caught fire in heavy rain on a night approach. Improper IFR operation. Misused or failed to use flaps. Descended below decision height. The aircraft was named 'Clipper Caribbean.'",1968,6,"Jun",NA,18.35,-88.4333333
"207","calcutta","22/09/1943","calcutta, india","Military - U.S. Army Air Forces","","Douglas C-53",20,20,0,1,0,"Cashed into trees shortly after taking off.",1943,9,"Sep",NA,18.35,-88.4333333
"208","calcutta","21/11/1951","calcutta, india","Deccan Airways","","Douglas DC-3",17,16,1,0.94,0,"The aircraft struck trees in fog during a missed approach 3 miles north of Dum Dum airport as the crew descended too low in poor visibility.",1951,11,"Nov",NA,18.35,-88.4333333
"209","calcutta","30/04/1954","calcutta, india","Darbhanga Aviation","","Douglas C-47A-30-DK",11,5,6,0.45,0,"The aircraft tried to return to the airport after the No. 1 engine failed on takebut was unable to maintain airspeed, stalled and crashed into a tree. Delay in feathering the No. 1 engine after failure. Improper emergency procedural errors by the pilot.",1954,4,"Apr",NA,18.35,-88.4333333
"210","calcutta","31/12/1951","calcutta, india","Kalinga Airlines","","Douglas C-47A",3,3,0,1,0,"The cargo plane crashed on takeoff.",1951,12,"Dec",NA,18.35,-88.4333333
"211","calcutta","27/05/1944","calcutta, india","China National Aviation Corporation","","Douglas DC-3",14,14,0,1,0,"Crashed at sea in poor weather conditions.",1944,5,"May",NA,18.35,-88.4333333
"212","cali","12/08/1974","cali, colombia","AVIANCA","Tumaco - Bogota","Douglas C-47-DL",27,27,0,1,0,"The crew became lost in rainy weather and crashed into Trujillo Mountain. Wreckage found 2 months later.",1974,8,"Aug",NA,8.850483,-75.607808
"213","cambridge","02/04/1970","cambridge, maryland","East Coast Air - Air Taxi","Teterboro, NJ - Cambridge, MD","Piper PA-32",3,3,0,1,0,"Collided with trees while attempting to land in fog.  Either misread or failed to read instruments correctly.",1970,4,"Apr",NA,-42.833333,147.45
"214","camona","12/10/1962","camona, spain","Iberia Airlines","Barcelona - Valencia - Seville","Convair CV-440 -62",18,18,0,1,0,"Crashed into mountain while attempting to land.",1962,10,"Oct",NA,-9.859127,13.750462
"215","campina grande","05/09/1958","campina grande, brazil","Loide Aereo Nacional","","Curtiss C-46A-CU",18,13,5,0.72,0,"The aircraft crashed after a second landing attempt. Improper approach procedure. Incorrect forcast provided to the crew.",1958,9,"Sep",NA,0.183333,-51.116667
"216","canada","30/10/1991","point alert, ellesmere island, nwt,canada","Military - Royal Canadian Air Force","Edmonton - Point Alert","Lockheed CC-130E",18,5,13,0.28,0,"Flew into the ground 12nm from the runway at about 1,500 ft.  Rescue of the survivors was conducted in Arctitwilight under poor weather conditions. Controlled flight into terrain.",1991,10,"Oct",NA,-30.093027,-63.365095
"217","canada","06/12/1972"," larandall, quebe,canada","Superior Airways","","Douglas C-47B-15-DK",3,3,0,1,0,"The aircraft entered a spiral, while the captain tried to remove ice from the windscreen with a scraper. This caused a violent correction which led to a high speed stall. The DC-3 crashed  12 miles south of LaRandall in a nose and wing down attitude.",1972,12,"Dec",NA,-30.093027,-63.365095
"218","canada","09/11/1969","timmins, ontario ,canada","Austin Airways","Winisk - Timmins","Douglas C-47B",4,2,2,0.5,0,"Crashed after returning to Timmins because of poor weather. The pilot made inadequate pre flight preparations for a flight into known marginal weather. The pilot descended below the minimum altitude. The pilot exposed himself and his crew to the effects of fatigue by attempting a flight after a long period of duty.",1969,11,"Nov",NA,-30.093027,-63.365095
"219","canaima","02/10/1998","canaima, venezuela","Servivensa","Sighteeing","Douglas DC-3C",27,1,26,0.04,0,"The sightseeing plane, after a flight over Angel Falls, crashed short of the runway into a swamp.",1998,10,"Oct",NA,10.335921,-73.819298
"220","canaima","27/08/1972","canaima, venezuela","Lineas Areas Venezolanas","Canaima - C iudad","Douglas C-47-DL",34,34,0,1,0,"The aircraft crashed while the crew was returning to the airport after experiencing a No.1 engine failure.",1972,8,"Aug",NA,10.335921,-73.819298
"221","canberra","13/08/1940","canberra, australia","Military - Royal Australian Air Force","Melbourne - Canberra","Lockheed Hudson A16-97",10,10,0,1,0,"The plane was seen circling Canberra Aerodrome after which it headed west to make the final approach for landing. The aircraft momentarily disappeared behind one of the hills that surround the airport, then reappeared. There was the sound of engines being gunned, then the aircraft disappeared again. An explosion and sight  of a large plume of black smoke followed. All on board the Hudson were killed including several high ranking Australian military leaders. A witness later said the aircraft appeared to drop its left wing and then dip its nose steeply, classisymptoms of a stall, too close to the ground for recovery.",1940,8,"Aug",NA,-35.27603,149.13435
"222","caoba","18/11/1975","caoba, guatemala","Aviateca","Uaxactun - Flores","Douglas DC-3",22,15,7,0.68,0,"Crashed into mountainous jungle in poor visibility and heavy rain.",1975,11,"Nov",NA,31.405278,118.680428
"223","cape dyer","15/05/1967","cape dyer, canada","Nordair","","Curtiss C-46T",4,4,0,1,0,"Crashed short of the runway in whiteout conditions. Improper  procedures by crew in whiteout weather conditions.",1967,5,"May",NA,66.666667,-61.366667
"224","cape paterson","10/05/1975","cape paterson, australia","Air Express","","Bristol 170 Freighter 21E",2,2,0,1,0,"Following an engine failure the cargo plane could not maintain altitude and crashed into the ocean.",1975,5,"May",NA,-38.670891,145.621277
"225","carepa","05/05/2004","carepa, colombia","Aerotransportes Petroleros","Bogota - Carepa","Swearingen SA227AC Metro III",7,3,4,0.43,0,"While on approach the plane hit the ground 300 ft. short of the runway.",2004,5,"May",NA,7.758489,-76.652545
"226","carolina","29/04/1952","carolina, brazil","Pan American World Airways","Rio de Janeiro - New York City","Boeing 377-10-26 Stratocruiser",50,50,0,1,0,"The flight crashed into the jungle about 887 nm NNW of Rio de Janerio. Separation of the propeller blade leading to separation of the No. 2 engine due to highly unbalance forces, leading to the distintegration of the aircraft. The aircraft was named 'Clipper Good Hope.'",1952,4,"Apr",NA,-33.524111,-64.212591
"227","casablanca","18/05/1958","casablanca, morocco","Sabena","Lisbon - Leopoldville","Douglas DC-7C",65,61,4,0.94,0,"The aircraft developed trouble in the No. 1 engine while en route from Lisbon to Leopoldville. While attempting to land in poor visibility on 3 engines, the aircraft stalled 80 ft. above the ground and crashed into a building and burst into flames. Pre-crash damage to the No. 1 engine. An error of judgment by the pilot in reapplication of power when the aircraft was neither in the appropriate configuration nor at a sufficient speed to carry out the attempted safety maneuver.",1958,5,"May",NA,-30.966873,-61.740223
"228","casablanca","23/02/1945","casablanca, morocco","Military - United States Army Air Force","","Curtiss C-46A",30,13,17,0.43,0,"",1945,2,"Feb",NA,-30.966873,-61.740223
"229","casablanca","09/07/1950","casablanca, morocco","Aigle Azur","Paris - Dakar","Douglas DC-3",29,22,7,0.76,0,"Crashed on climb-out.",1950,7,"Jul",NA,-30.966873,-61.740223
"230","casablanca","01/04/1970","casablanca, morocco","Royal Air Maroc","Agadir - Casablanca","Aerospatiale Caravelle 3",82,61,21,0.74,0,"The aircraft crashed 9.7 km short of the runway during approach in the fog and broke in two.",1970,4,"Apr",NA,-30.966873,-61.740223
"231","casablanca","12/07/1961","casablanca, morocco","Ceskoslovenske Aerolinie","Zurich - Rabat","Ilyushin IL-18B",72,72,0,1,0,"On reaching Rabat, the plane was diverted to Casablanca because of poor ground visibility. Conditions at Casablanca were a little better but the plane overshot the runway on its first approach. With worsening conditions the pilot asked to land at the U.S. Air Force base at Nouasseur. While the tower was seeking permission, the pilot saw a window of opportunity and tried again to land at Casablanca. The aircraft crashed into a hillside and burned eight miles short of the runway.",1961,7,"Jul",NA,-30.966873,-61.740223
"232","casablanca","13/10/1950","casablanca, morocco","Air Atlas","Casablanca -  Algiers","Douglas DC-3",7,4,3,0.57,0,"",1950,10,"Oct",NA,-30.966873,-61.740223
"233","castilla","27/09/1949","castilla, argentina","Flota Aí©rea Mercante Argentina","","Douglas C-54A-1-DO",27,5,22,0.19,0,"Crashed after an in-flight fire. The plane tried to make a forced landing but crashed before reaching the air strip. Returning from a mercy mission in Ecuador for earthquake relief.",1949,9,"Sep",NA,-34.612452,-59.905739
"234","castries","20/08/1982","castries, saint lucia","Inter Island Air Services","","Britten-Norman BN-2A Islander",10,10,0,1,0,"Crashed into the sea.",1982,8,"Aug",NA,43.677947,3.983619
"235","castries","30/11/1981","castries, saint lucia island","Guyana Airways","","Douglas DC-6A",3,3,0,1,0,"Engine failed during takeoff. The cargo plane crashed while returning to the field.",1981,11,"Nov",NA,43.677947,3.983619
"236","cerro blanco","08/10/1951","cerro blanco, mexico","Aero Transportes","Mexico City - Villahermossa","Douglas DC-3",8,8,0,1,0,"Flew into a mountain.",1951,10,"Oct",NA,-22.733333,-65.483333
"237","ceuta","25/01/1930","ceuta, spain","Aeropostale","","Latecoere 25",2,2,0,1,0,"",1930,1,"Jan",NA,4.746109,-74.232118
"238","ceylon","23/03/1946","ceylon, cocos islands, indian ocean","British Overseas Airways /Qantas","Karachi - Australia","Avro 691 Lancastrian 1",10,10,0,1,0,"Disappeared between Ceylon and the Cocos Islands while en route. Aircraft owned by BOAC and operated by both airlines on Sydney-London services (BOAC crews operated London-Karachi and Qantas crews Karachi-Sydney).",1946,3,"Mar",NA,49.45,-104.6
"239","chachapoyas","09/01/2003","chachapoyas, peru","TANS Airlines","Chiclayo - Chachapoyas","Fokker 28 Fellowship 1000",46,46,0,1,0,"The aircraft crashed into 11,500 ft. Coloque mountain at an altitude of 7,550 ft., about 30 minutes after leaving Chiclayo and three minutes from landing at Chachapoyas. Controlled flight into terrain. Crew did not follow standard procedures. Lack of communication between the crew.",2003,1,"Jan",NA,-24.747351,-65.385274
"240","chadron","22/12/1987","chadron, nebraska","Air Taxi","Alliance, AK - Chadron, NE","Cessna 402C",3,2,1,0.67,0,"Became disoriented while en route and crashed into trees on a ridge. Improper IFR procedure. Proper alititude not maintained.",1987,12,"Dec",NA,44.959848,3.936362
"241","chana","26/07/1989","chana, angola","Military - Angolan Air Force","Luena - Cazombo","Antonov AN-26",48,42,6,0.88,0,"Shot down either by rebel forces or friendly fire. A missile struck one of the engines and the plane crashed while attempting an emergency landing.",1989,7,"Jul",NA,-9.692469,19.627673
"242","changchun","09/01/1946","changchun, china","Military - Chinese Air Force","","Douglas C-47",18,18,0,1,0,"",1946,1,"Jan",NA,33.269444,115.883889
"243","changyi","29/10/1940","changyi, china","China National Aviation Corporation","Chungking - Kunming","Douglas DC-2",14,9,5,0.64,0,"Shot down by Japanese military fighters. The plane ran into 5 Japanese fighters and made an emergency landing at a remote field only to be machine-gunned while trying to escape.",1940,10,"Oct",NA,29.024434,116.0606
"244","chantilly","18/06/1994","chantilly, virginia","TAESA","Mexico City - Washington D.C.","Learjet 25D",12,12,0,1,0,"The aircraft crashed in poor weather conditions 0.8 nm south of the threshold of runway 1R at Dulles International Airport while attempting a ILS landing. Poor airmanship and relative inexperience of the captain in initiating and continuing an unstabilized instrument approach that led to a descent below the authorized altitude without visual contact with the runway environment. Contributing to the cause of the accident was the lack of a GPWS on the airplane.",1994,6,"Jun",NA,49.192811,2.464271
"245","chaparra","22/01/1943","chaparra, peru","Pan American Grace Airlines","Santiago, Chili - Arequipa, Peru - Lima, Peru","Douglas DC-3A",15,14,1,0.93,0,"The aircraft crashed into the Mt. Chaparra in the Andes mountains while en route.  Action of the pilot in continuing the flight on instruments in the overcast, contrary to company flight procedure of which, according to the evidence, the pilot was aware.",1943,1,"Jan",NA,21.16,-76.4788889
"246","chatenoy","16/05/1958","chatenoy, france","British European Airways","","Douglas C-47A",3,3,0,1,0,"Broke up in midair while flying through a thunderstorm.",1958,5,"May",NA,46.791639,4.91237
"247","chatsworth","12/07/1949","chatsworth, california","Standard Airlines","Albuquerque - Burbank","Curtiss C-46E-1-CS",48,35,13,0.73,0,"The plane was flying in level flight with the gear down. The right wing tip brushed the side of a hill pulling the plane around 90 degrees. It hit the ground and bounced 300 feet into the air and crashed. Pilot's action in descending below the prescribed minimum altitude while executing an ILS approach.",1949,7,"Jul",NA,-29.383333,153.233333
"248","cheney","15/09/1988","cheney, ontario, canada","Bradley Air Services","Montreal - Ottawa","BAe-748",2,2,0,1,0,"Struck the ground short of the runway while attempting to land.",1988,9,"Sep",NA,47.906866,3.947828
"249","chesterfield","30/07/1949","chesterfield, new jersey","Air Lines / Military - USN","New York City - Wilmington","Douglas DC-3 -201D/ F-6-F- 5 Hellcat",16,16,0,1,0,"Midair collision with a US Navy F-6F.  The F-6F was buzzing a small private aircraft which was cruising below the DC-3. The F-6F had pulled up into a climbing turn and collided with the DC-3. All fifteen killed on the DC-3, and one on the F-6F. Reckless conduct of the Navy pilot in performing aerobatimaneuvers on a civil airway.",1949,7,"Jul",NA,63.333333,-90.7
"250","chicago","17/07/1955","chicago, illinois","Braniff Airlines","Kansas City, MO - Chicago","Convair CV-340-32",43,22,21,0.51,0,"While on instrument approach, the aircraft hit a sign and crashed through the airport boundry fence.  Momentary disorientation caused by the loss of visual reference during the final visual phase of the approach resulting in an increased rate of descent at an altitude too low to effect recovery.",1955,7,"Jul",NA,17.8,-88.3
"251","chicago","12/07/1931","chicago, illinois","Braniff Airlines","Chicago - Detroit","Lockheed Vega",2,2,0,1,0,"Engine quit while taking off. The plane crashed from a height of 700 feet. The pilot tried to return to the airport  by banking to the right but did not have sufficient altitude to recover.",1931,7,"Jul",NA,17.8,-88.3
"252","chicago","15/11/1979","chicago, illinois","American Airlines","Chicago - Washington D.C.","Boeing B-727",78,0,78,0,0,"While en route from Chicago to Washington an explosive device detonated in the baggage compartment. The aircraft was flying at an altitude of approximately 34,500 feet, when the flight crew experienced a noise which they described as a thump. Smoke subsequently filled the cabin and the aircraft was forced to make an emergency landing at Washington-Dulles Airport. The bomb was planted by the Unabomber, a man who had been accused of attacks over an 18-year period. He was arrested in April 1996 and subsequently received a life sentence.",1979,11,"Nov",NA,17.8,-88.3
"253","chicago","14/09/1931","chicago, illinois","Chicago-Detroit Airways","","Lockheed Vega",1,1,0,1,0,"Crashed in a severe rainstorm while attempting to land.",1931,9,"Sep",NA,17.8,-88.3
"254","chicago","09/06/1979","chicago, illinois","Skystream Airlines","Positioning","Beechcraft 99",2,2,0,1,0,"",1979,6,"Jun",NA,17.8,-88.3
"255","chicago","20/12/1972","chicago, illinois","Delta Air Lines/ North Central Airlines","Tampa - Chicago / Chicago - Madison","Convair CV-880 / McDonnell DC-9-31",133,10,123,0.08,0,"The Delta Convair, taxing across Runway 27L, after landing in heavy fog, was hit by the North Central DC-9 as it took off, shearing its tail. The DC-9 came crashing back down on the runway and caught fire. Ten people out of 45 aboard the DC-9 were killed. None of the 88 aboard the Convair were killed. The ATC gave ambiguous instructions to the Delta crew, did not use all available information to determine the location of the CV-880 and the CV-880 crew did not request clarification of the controller's instructions.",1972,12,"Dec",NA,17.8,-88.3
